Date;Price;Open;High;Low;Vol.;Change %
06/01/2014;5.81;4.94;5.87;4.94;12.76K;15.05%
05/01/2014;5.05;5.37;5.37;4.60;18.94K;-6.48%
04/01/2014;5.40;4.66;5.74;4.55;22.62K;16.38%
03/01/2014;4.64;7.28;7.28;3.97;30.83K;-34.28%
02/01/2014;7.06;5.85;7.19;5.85;19.94K;28.36%
01/01/2014;5.50;4.83;5.54;4.50;31.06K;13.87%
12/01/2013;4.83;4.35;5.03;4.34;220.65K;10.78%
11/01/2013;4.36;4.59;4.86;4.32;121.16K;-9.17%
10/01/2013;4.80;5.16;5.35;4.53;4.84K;-4.38%
09/01/2013;5.02;4.53;5.86;4.37;25.06K;10.33%
08/01/2013;4.55;4.35;4.61;4.25;6.85K;5.57%
07/01/2013;4.31;4.13;4.80;3.41;40.84K;3.11%
06/01/2013;4.18;3.81;4.73;3.76;92.05K;6.91%
05/01/2013;3.91;2.96;4.01;2.91;21.28K;27.36%
04/01/2013;3.07;4.67;5.17;2.49;17.50K;-35.23%
03/01/2013;4.74;4.76;4.87;3.38;63.38K;-1.25%
02/01/2013;4.80;3.28;5.34;3.22;20.94K;45.02%
01/01/2013;3.31;6.50;6.55;3.23;45.44K;-48.68%
12/01/2012;6.45;6.08;7.21;5.61;287.24K;4.03%
11/01/2012;6.20;8.13;8.75;5.89;75.80K;-24.67%
10/01/2012;8.23;7.88;8.22;7.53;12.98K;3.78%
09/01/2012;7.93;8.15;8.36;7.21;8.21K;-1.25%
08/01/2012;8.03;6.91;8.30;6.91;4.14K;16.72%
07/01/2012;6.88;8.20;8.24;6.50;19.62K;-16.10%
06/01/2012;8.20;6.16;8.37;6.16;5.52K;30.78%
05/01/2012;6.27;7.50;7.50;6.22;7.58K;-16.18%
04/01/2012;7.48;6.89;7.50;5.89;5.79K;7.16%
03/01/2012;6.98;8.57;9.00;6.50;22.78K;-16.31%
02/01/2012;8.34;8.09;9.35;7.45;10.16K;6.38%
01/01/2012;7.84;6.60;7.90;6.15;19.18K;12.48%
12/01/2011;6.97;8.43;9.00;6.30;146.94K;-16.53%
11/01/2011;8.35;9.67;10.09;6.98;39.53K;-17.49%
10/01/2011;10.12;10.25;10.78;9.75;10.73K;-5.07%
09/01/2011;10.66;12.70;12.70;10.40;7.54K;-16.98%
08/01/2011;12.84;12.15;13.36;10.50;4.80K;6.03%
07/01/2011;12.11;13.35;13.35;11.59;2.00K;-9.36%
06/01/2011;13.36;16.74;16.74;12.10;8.22K;-19.95%
05/01/2011;16.69;16.60;17.20;15.90;5.98K;-0.06%
04/01/2011;16.70;16.55;16.85;16.17;1.18K;-1.07%
03/01/2011;16.88;15.06;17.20;15.06;17.71K;10.33%
02/01/2011;15.30;14.39;15.12;14.39;3.73K;3.66%
01/01/2011;14.76;14.35;14.35;14.35;0.09K;5.28%
12/01/2010;14.02;14.70;15.07;13.70;119.09K;-5.01%
11/01/2010;14.76;14.59;15.37;14.15;217.39K;0.89%
10/01/2010;14.63;15.37;15.90;14.59;184.02K;-5.06%
09/01/2010;15.41;15.03;15.76;15.03;26.86K;1.25%
08/01/2010;15.22;15.22;15.22;15.22;;8.10%
07/01/2010;14.08;14.08;14.08;14.08;0.11K;-7.31%
06/01/2010;15.19;15.55;15.55;15.55;0.12K;1.13%
05/01/2010;15.02;15.02;15.02;15.02;0.10K;-5.18%
04/01/2010;15.84;15.84;15.84;15.84;0.19K;24.63%
03/01/2010;12.71;12.71;12.71;12.71;0.15K;-1.17%
02/01/2010;12.86;13.20;13.20;13.20;0.57K;1.18%
01/01/2010;12.71;13.49;13.49;13.49;0.00K;3.25%
12/01/2009;12.31;13.27;14.93;12.97;69.10K;-6.32%
11/01/2009;13.14;14.71;14.71;12.47;194.84K;-9.63%
10/01/2009;14.54;13.45;15.04;12.92;210.74K;8.83%
09/01/2009;13.36;13.80;13.90;12.90;23.94K;-10.28%
08/01/2009;14.89;15.05;15.30;15.05;0.37K;9.00%
07/01/2009;13.66;13.66;13.66;13.66;0.01K;3.88%
06/01/2009;13.15;13.15;13.15;13.15;;-10.24%
05/01/2009;14.65;14.65;14.65;14.65;;5.24%
04/01/2009;13.92;13.92;13.92;13.92;0.03K;21.57%
03/01/2009;11.45;10.50;12.05;10.05;9.68K;14.96%
02/01/2009;9.96;11.07;11.07;8.50;0.39K;-13.92%
01/01/2009;11.57;15.05;15.05;11.70;1.52K;-25.11%
12/01/2008;15.45;15.30;16.10;13.50;37.35K;-0.45%
11/01/2008;15.52;18.25;19.20;14.78;127.61K;-13.49%
10/01/2008;17.94;22.95;23.62;17.10;198.58K;-19.73%
09/01/2008;22.35;25.17;25.43;21.57;134.07K;-11.27%
08/01/2008;25.19;21.40;25.47;20.41;103.43K;14.19%
07/01/2008;22.06;28.78;29.69;21.75;169.04K;-23.32%
06/01/2008;28.77;26.10;28.88;25.89;124.66K;10.23%
05/01/2008;26.10;23.71;26.85;23.52;79.80K;9.30%
04/01/2008;23.88;21.90;25.67;21.80;96.97K;7.23%
03/01/2008;22.27;21.55;22.79;20.30;80.74K;4.50%
02/01/2008;21.31;19.05;22.10;18.76;94.64K;11.57%
01/01/2008;19.10;22.50;24.00;18.60;105.46K;-14.77%
